15:13:11 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:13:39 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:14:12 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:14:12 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:14:44 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:15:09 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:15:09 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:15:09 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:15:44 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:24:15 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:24:15 | INFO    | EXTERN   | ✅ Flows chargés : bronze_flow, silver_flow, ml_flow
15:24:16 | INFO    | EXTERN   | ✅ Prefect server accessible — http://127.0.0.1:4200
15:24:16 | INFO    | EXTERN   | ════════════════════════════════════════════════════════════
15:24:16 | INFO    | EXTERN   |   serve.py — Dashboard 360° Novec — DÉMO ACCÉLÉRÉ
15:24:16 | INFO    | EXTERN   |   dry_run=False | skip_ml=False | backfill_days=30
15:24:16 | INFO    | EXTERN   | ════════════════════════════════════════════════════════════
15:24:16 | INFO    | EXTERN   | [INIT] Bronze counts : {'staging_infrastructure': 47871, 'staging_itsm_tickets': 444, 'staging_itam': 27}
15:24:16 | INFO    | EXTERN   | [INIT] Bronze déjà peuplé → skip full_init
15:24:16 | INFO    | EXTERN   | 🟢 Lancement de serve() — 7 deployments actifs
15:24:21 | DEBUG   | EXTERN   | = connection is CONNECTING
15:24:21 | DEBUG   | EXTERN   | > GET /api/events/in HTTP/1.1
15:24:21 | DEBUG   | EXTERN   | > Host: 127.0.0.1:4200
15:24:21 | DEBUG   | EXTERN   | > Upgrade: websocket
15:24:21 | DEBUG   | EXTERN   | > Connection: Upgrade
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Key: PHJlbil7J6JEovXy+f0xng==
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Version: 13
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Protocol: prefect
15:24:21 | DEBUG   | EXTERN   | > User-Agent: Python/3.11 websockets/16.0
15:24:21 | DEBUG   | EXTERN   | < HTTP/1.1 101 Switching Protocols
15:24:21 | DEBUG   | EXTERN   | < Upgrade: websocket
15:24:21 | DEBUG   | EXTERN   | < Connection: Upgrade
15:24:21 | DEBUG   | EXTERN   | < Sec-WebSocket-Accept: Yj/iMimuDlYmsj8E6clesuvN7NA=
15:24:21 | DEBUG   | EXTERN   | < Sec-WebSocket-Extensions: permessage-deflate
15:24:21 | DEBUG   | EXTERN   | < Sec-WebSocket-Protocol: prefect
15:24:21 | DEBUG   | EXTERN   | < date: Fri, 15 May 2026 14:24:21 GMT
15:24:21 | DEBUG   | EXTERN   | < server: uvicorn
15:24:21 | DEBUG   | EXTERN   | = connection is OPEN
15:24:21 | DEBUG   | EXTERN   | > PING d5 d1 f1 34 [binary, 4 bytes]
15:24:21 | DEBUG   | EXTERN   | < PONG d5 d1 f1 34 [binary, 4 bytes]
15:24:21 | DEBUG   | EXTERN   | > TEXT '{"type":"auth","token":null}' [28 bytes]
15:24:21 | DEBUG   | EXTERN   | < TEXT '{"type":"auth_success"}' [23 bytes]
15:24:21 | DEBUG   | EXTERN   | = connection is CONNECTING
15:24:21 | DEBUG   | EXTERN   | > GET /api/events/out HTTP/1.1
15:24:21 | DEBUG   | EXTERN   | > Host: 127.0.0.1:4200
15:24:21 | DEBUG   | EXTERN   | > Upgrade: websocket
15:24:21 | DEBUG   | EXTERN   | > Connection: Upgrade
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Key: Bp6fPUsGdrqs0LN2sGQh1A==
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Version: 13
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
15:24:21 | DEBUG   | EXTERN   | > Sec-WebSocket-Protocol: prefect
15:24:21 | DEBUG   | EXTERN   | > User-Agent: Python/3.11 websockets/16.0
15:24:21 | DEBUG   | EXTERN   | < HTTP/1.1 101 Switching Protocols
15:24:21 | DEBUG   | EXTERN   | < Upgrade: websocket
15:24:21 | DEBUG   | EXTERN   | < Connection: Upgrade
15:24:21 | DEBUG   | EXTERN   | < Sec-WebSocket-Accept: TyqF5e/vq75yCo6ks/hk3bn5Mcw=
15:24:21 | DEBUG   | EXTERN   | < Sec-WebSocket-Extensions: permessage-deflate
15:24:21 | DEBUG   | EXTERN   | < Sec-WebSocket-Protocol: prefect
15:24:21 | DEBUG   | EXTERN   | < date: Fri, 15 May 2026 14:24:21 GMT
15:24:21 | DEBUG   | EXTERN   | < server: uvicorn
15:24:21 | DEBUG   | EXTERN   | = connection is OPEN
15:24:21 | DEBUG   | EXTERN   | > PING 7d 9c b7 dc [binary, 4 bytes]
15:24:21 | DEBUG   | EXTERN   | < PONG 7d 9c b7 dc [binary, 4 bytes]
15:24:21 | DEBUG   | EXTERN   | > TEXT '{"type":"auth","token":null}' [28 bytes]
15:24:21 | DEBUG   | EXTERN   | < TEXT '{"type":"auth_success"}' [23 bytes]
